Name,Genre,ESRB_Rating,Platform,Publisher,Score,Sales,Year
Battlefield 4,Shooter,M,PS4,Electronic Arts,8.3,3.94,2013
Assassin's Creed IV: Black Flag,Action-Adventure,M,PS3,Ubisoft,8.7,3.94,2013
EA Sports Active,Sports,E,Wii,EA Sports,8.3,3.93,2009
Half-Life 2: Episode One,Shooter,M,PC,Electronic Arts,8.7,3.92,2006
Tony Hawk's Underground,Sports,T,PS2,Activision,8.7,3.9,2003
Just Dance 2014,Music,E10,Wii,Ubisoft,7.4,3.89,2013
Professor Layton and the Diabolical Box,Adventure,E10,DS,Nintendo,8.5,3.88,2009
Sports Champions,Sports,E10,PS3,Sony Computer Entertainment,7.6,3.88,2010
MotorStorm,Racing,T,PS3,Sony Computer Entertainment,8.2,3.87,2007
World Soccer Winning Eleven 8 International,Sports,E,PS2,Konami,9.3,3.85,2005
Resident Evil VII: Biohazard,Action,M,PS4,Capcom,8.6,3.83,2017
Monster Hunter Freedom Unite,Role-Playing,T,PSP,Capcom,7.7,3.8,2009
LEGO Indiana Jones: The Original Adventures,Adventure,E10,X360,LucasArts,7.5,3.76,2008
The Sims: Unleashed,Simulation,T,PC,Electronic Arts,7.3,3.76,2002
Ratchet & Clank: Size Matters,Platform,E10,PSP,Sony Computer Entertainment,8.5,3.75,2007
Harry Potter and the Sorcerer's Stone,Action,E,PS,Electronic Arts,8,3.73,2001
Pokemon Trading Card Game,Strategy,E,GB,Nintendo,8.3,3.72,2000
FIFA 17,Sports,E,XOne,Electronic Arts,8.8,3.71,2016
Spyro: Year of the Dragon,Platform,E,PS,Sony Computer Entertainment,9.1,3.71,2000
The Legend of Zelda: A Link Between Worlds,Adventure,E,3DS,Nintendo,9.3,3.71,2013
FIFA Soccer 2005,Sports,E,PS2,EA Sports,8.4,3.7,2004
The Legend of Zelda: Skyward Sword,Adventure,T,Wii,Nintendo,9.4,3.67,2011
Tony Hawk's Pro Skater 4,Sports,T,PS2,Activision,9.6,3.67,2002
Midnight Club 3: DUB Edition,Racing,E10,PSP,Rockstar Games,7.2,3.66,2005
MySims,Simulation,E,DS,Electronic Arts,6.7,3.66,2007
Banjo-Kazooie,Platform,E,N64,Nintendo,9.3,3.65,1998
SOCOM: U.S. Navy SEALs,Shooter,M,PS2,Sony Computer Entertainment,8,3.65,2002
Battlefield 4,Shooter,M,PS3,Electronic Arts,8.7,3.64,2013
Jak and Daxter: The Precursor Legacy,Platform,E,PS2,Sony Computer Entertainment,9,3.64,2001
Pokemon Snap,Simulation,E,N64,Nintendo,7.9,3.63,1999
Pro Evolution Soccer 2008,Sports,E,PS2,Konami,8.2,3.63,2008
FIFA Soccer 10,Sports,E,PS3,EA Sports,9,3.63,2009
Guitar Hero: World Tour,Misc,T,Wii,Activision,8.4,3.62,2008
Star Wars Battlefront,Shooter,T,PS2,LucasArts,8.1,3.61,2004
Doom II,Shooter,M,PC,GT Interactive,9.3,3.61,1994
The Simpsons: Road Rage,Racing,T,PS2,Electronic Arts,6.1,3.61,2001
Assassin's Creed Syndicate,Action,M,PS4,Ubisoft,8.6,3.6,2015
Star Wars Battlefront II,Shooter,T,PS2,LucasArts,8.5,3.59,2005
Cooking Mama 2: Dinner With Friends,Simulation,E,DS,Majesco,6.9,3.58,2007
Croc: Legend of the Gobbos,Platform,E,PS,Fox Interactive,7.6,3.56,1997
Battlefield 4,Shooter,M,X360,Electronic Arts,8.7,3.54,2013
Grand Theft Auto: Liberty City Stories,Action,M,PS2,Rockstar Games,8.3,3.54,2006
The Getaway,Action,M,PS2,Sony Computer Entertainment,7.7,3.54,2003
